Date,P/E,P/B,nifty
24-Sep-20,30.97,3.01,10805.55
25-Sep-20,32.12,3.13,11050.25
28-Sep-20,32.63,3.18,11227.55
29-Sep-20,32.62,3.18,11222.4
30-Sep-20,32.69,3.19,11247.55
1-Oct-20,33.18,3.23,11416.95
5-Oct-20,33.43,3.26,11503.35
6-Oct-20,33.9,3.3,11662.4
7-Oct-20,34.12,3.32,11738.85
8-Oct-20,34.4,3.35,11834.6
9-Oct-20,34.71,3.37,11914.2
12-Oct-20,34.76,3.38,11930.95
13-Oct-20,34.77,3.38,11934.5
14-Oct-20,34.87,3.39,11971.05
15-Oct-20,34.03,3.31,11680.35
16-Oct-20,34.13,3.33,11762.45
19-Oct-20,34.43,3.36,11873.05
20-Oct-20,34.28,3.37,11896.8
21-Oct-20,34.4,3.38,11937.65
22-Oct-20,34.27,3.37,11896.45
23-Oct-20,34.37,3.38,11930.35
26-Oct-20,33.95,3.33,11767.75
27-Oct-20,34.49,3.37,11889.4
28-Oct-20,33.94,3.32,11729.6
29-Oct-20,31.56,3.3,11670.8
30-Oct-20,31.9,3.3,11642.4
2-Nov-20,31.43,3.3,11669.15
3-Nov-20,31.82,3.34,11813.5
4-Nov-20,32.27,3.37,11908.5
5-Nov-20,32.84,3.43,12120.3
6-Nov-20,33.09,3.47,12263.55
